Bureau de l'ASFC,Emplacement,Mise à jour,Débit / Expéditions commerciales,Débit / Voyageurs
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 21:51 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-09 22:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 00:03 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 01:09 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 02:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 03:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 04:34 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 04:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 05:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 06:53 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 08:04 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 08:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 09:53 PDT,Aucun délai,30
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 10:52 PDT,Aucun délai,15
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 11:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 12:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 13:52 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 14:48 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 16:11 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 16:49 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 17:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 19:09 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 19:49 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 20:51 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 21:49 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 22:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-10 23:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 00:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 01:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 02:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 03:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 04:45 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 05:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 06:54 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 07:55 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 08:58 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 11:12 PDT,Aucun délai,25
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 11:20 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 12:03 PDT,Aucun délai,40
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 13:00 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 14:02 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 15:01 PDT,Aucun délai,30
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 15:50 PDT,Aucun délai,25
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 17:05 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-11 17:55 PDT,Aucun délai,Aucun délai
