"","Site","Meter","Unit","Date","Time","Value"
"221","Abercrombie House","Total Natural Gas AH","kWh",2011-02-25,"00:30",0
"222","Abercrombie House","Total Natural Gas AH","kWh",2011-02-26,"00:30",0
"223","Abercrombie House","Total Natural Gas AH","kWh",2011-02-27,"00:30",0
"224","Abercrombie House","Total Natural Gas AH","kWh",2011-02-28,"00:30",0
"225","Abercrombie House","Total Imported Energy AH","kWh",2011-02-01,"00:30",78
"226","Abercrombie House","Total Imported Energy AH","kWh",2011-02-02,"00:30",78
"227","Abercrombie House","Total Imported Energy AH","kWh",2011-02-03,"00:30",120.064
"228","Abercrombie House","Total Imported Energy AH","kWh",2011-02-04,"00:30",78
"229","Abercrombie House","Total Imported Energy AH","kWh",2011-02-05,"00:30",78
"230","Abercrombie House","Total Imported Energy AH","kWh",2011-02-06,"00:30",78
"231","Abercrombie House","Total Imported Energy AH","kWh",2011-02-07,"00:30",78
"232","Abercrombie House","Total Imported Energy AH","kWh",2011-02-08,"00:30",237.272
"233","Abercrombie House","Total Imported Energy AH","kWh",2011-02-09,"00:30",78
"234","Abercrombie House","Total Imported Energy AH","kWh",2011-02-10,"00:30",84
"235","Abercrombie House","Total Imported Energy AH","kWh",2011-02-11,"00:30",78
"236","Abercrombie House","Total Imported Energy AH","kWh",2011-02-12,"00:30",78
"237","Abercrombie House","Total Imported Energy AH","kWh",2011-02-13,"00:30",78
"238","Abercrombie House","Total Imported Energy AH","kWh",2011-02-14,"00:30",96.794
"239","Abercrombie House","Total Imported Energy AH","kWh",2011-02-15,"00:30",78
"240","Abercrombie House","Total Imported Energy AH","kWh",2011-02-16,"00:30",109.556
"241","Abercrombie House","Total Imported Energy AH","kWh",2011-02-17,"00:30",78
"242","Abercrombie House","Total Imported Energy AH","kWh",2011-02-18,"00:30",78
"243","Abercrombie House","Total Imported Energy AH","kWh",2011-02-19,"00:30",78
"244","Abercrombie House","Total Imported Energy AH","kWh",2011-02-20,"00:30",78
"245","Abercrombie House","Total Imported Energy AH","kWh",2011-02-21,"00:30",78
"246","Abercrombie House","Total Imported Energy AH","kWh",2011-02-22,"00:30",78
"247","Abercrombie House","Total Imported Energy AH","kWh",2011-02-23,"00:30",78
"248","Abercrombie House","Total Imported Energy AH","kWh",2011-02-24,"00:30",72
"249","Abercrombie House","Total Imported Energy AH","kWh",2011-02-25,"00:30",84
"250","Abercrombie House","Total Imported Energy AH","kWh",2011-02-26,"00:30",84
"251","Abercrombie House","Total Imported Energy AH","kWh",2011-02-27,"00:30",72
"252","Abercrombie House","Total Imported Energy AH","kWh",2011-02-28,"00:30",78
"253","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-01,"00:30",236.04
"254","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-02,"00:30",183.36
