"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"238","Department for Education","Department for Education ","Education Funding Group ","DFE-1110","Grade 6",55431,69187,"Senior Policy Adviser",4.81,"Policy"
"239","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1146","EO",21916,32232,"PERSONAL ASSISTANT",2,"Other"
"240","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1152","Grade 7",45300,57222,"Generalist",2,"Other"
"241","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1145","EO",21916,32232,"PERSONAL ASSISTANT",2,"Other"
"242","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1148","EO",21916,32232,"Generalist",1,"Other"
"243","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1145","EA/AO",15266,24858,"Generalist",1,"Other"
"244","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1148","HEO",25000,40828,"Generalist",1,"Other"
"245","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1147","Grade 6",55431,69187,"Generalist",1,"Other"
"246","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1148","Grade 6",55431,69187,"Generalist",1,"Other"
"247","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1157","EO",21916,32232,"Generalist",5.86,"Other"
"248","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1157","SEO",33200,49008,"Generalist",21.71,"Other"
"249","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 6",55431,69187,"IT Manager",1,"Information Technology"
"250","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1155","EO",21916,32232,"Finance Support Officer",4,"Finance"
"251","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","SEO",33200,49008,"Generalist",7.98,"Operational Delivery"
"252","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1155","EA/AO",15266,24858,"Executive Assistant",4,"Finance"
"253","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1155","SEO",33200,49008,"Finance Officer",3.61,"Finance"
"254","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 6",55431,69187,"Generalist",1.6,"Operational Delivery"
"255","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 7",45300,57222,"Generalist",7,"Operational Delivery"
"256","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","SEO",33200,49008,"Business Manager",0.81,"Planning"
"257","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1155","SEO",33200,49008,"Senior Finance  Manager",6.98,"Finance"
"258","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1157","HEO",25000,40828,"Generalist",5.98,"Other"
"259","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 6",55431,69187,"Senior Operational Researcher",1,"Operational Research"
"260","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1157","Grade 6",55431,69187,"Generalist",6,"Other"
"261","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","SEO",33200,49008,"Programme Manager",1,"Other"
"262","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1155","HEO",25000,40828,"Finance Support Officer",7.04,"Finance"
"263","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","SEO",33200,49008,"Senior Operational Researcher",4,"Operational Research"
"264","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","SEO",33200,49008,"Operational Manager",1.91,"Other"
"265","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 7",45300,57222,"Operational Manager",4,"Operational Research"
"266","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 6",55431,69187,"Business Manager",1,"Planning"
"267","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1155","Grade 7",45300,57222,"Senior Finance  Manager",2.98,"Finance"
"268","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","EA/AO",15266,24858,"Executive Assistant",0.86,"Other"
"269","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 7",45300,57222,"Operational Manager",1,"Other"
"270","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","HEO",25000,40828,"Generalist",1,"Other"
"271","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 6",55431,69187,"Senior Project Manager",1,"Other"
"272","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1156","EO",21916,32232,"Generalist",1,"Other"
"273","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1157","Grade 7",45300,57222,"Generalist",4,"Other"
"274","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1158","Grade 7",45300,57222,"Business Manager",2,"Planning"
"275","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1155","Grade 6",55431,69187,"Senior Finance  Manager",2,"Finance"
